zip5,district,district_code
"06067",Rocky Hill,"119"
"06777",Region 12,"212"
"06793",Region 12,"212"
"06423",East Haddam,"41"
"06460",Milford,"84"
"06706",Waterbury,"151"
"06492",Wallingford,"148"
"06477",Region 5,"205"
"06514",Hamden,"62"
"06517",Hamden,"62"
"06450",Meriden,"80"
"06762",Region 15,"215"
"06437",Guilford,"60"
"06375",Waterford,"152"
"06901",Stamford,"135"
"06850",Norwalk,"103"
"06335",Ledyard,"72"
"06376",Region 18,"218"
"06226",Windham,"163"
"06231",Region 8,"208"
"06043",Bolton,"12"
"06277",Thompson,"141"
"06235",Region 11,"211"
"06897",Wilton,"161"
"06110",West Hartford,"155"
"06605",Bridgeport,"15"
"06831",Greenwich,"57"
"06903",Stamford,"135"
"06484",Shelton,"126"
"06614",Stratford,"138"
"06010",Bristol,"17"
"06091",Hartland,"65"
"06035",Granby,"56"
"06447",Region 8,"208"
"06444",Southington,"131"
"06002",Bloomfield,"11"
"06026",East Granby,"40"
"06451",Meriden,"80"
"06020",Canton,"23"
"06791",Region 10,"210"
"06387",Plainfield,"109"
"06059",Region 7,"207"
"06750",Litchfield,"74"
"06057",Region 7,"207"
"06018",Region 1,"201"
"06469",East Haddam,"41"
"06415",Colchester,"28"
"06457",Middletown,"83"
"06441",Region 17,"217"
"06455",Region 13,"213"
"06483",Seymour,"124"
"06515",New Haven,"93"
"06705",Waterbury,"151"
"06513",New Haven,"93"
"06340",Groton,"59"
"06330",Sprague,"133"
"06353",Montville,"86"
"06232",Region 8,"208"
"06855",Norwalk,"103"
"06066",Vernon,"146"
"06237",Columbia,"30"
"06870",Greenwich,"57"
"06119",West Hartford,"155"
"06716",Wolcott,"166"
"06037",Berlin,"7"
"06032",Farmington,"52"
"06084",Tolland,"142"
"06242",Eastford,"39"
"06255",Thompson,"141"
"06256",Windham,"163"
"06027",Hartland,"65"
"06062",Plainville,"110"
"06109",Wethersfield,"159"
"06022",Canton,"23"
"06040",Manchester,"77"
"06759",Litchfield,"74"
"06796",Region 1,"201"
"06787",Thomaston,"140"
"06785",Region 1,"201"
"06068",Region 1,"201"
"06795",Watertown,"153"
"06422",Region 13,"213"
"06413",Clinton,"27"
"06417",Region 4,"204"
"06424",East Hampton,"42"
"06456",East Hampton,"42"
"06511",New Haven,"93"
"06704",Waterbury,"151"
"06380",Norwich,"104"
"06333",East Lyme,"45"
"06351",Griswold,"58"
"06336",Bozrah,"13"
"06365",Preston,"114"
"06266",Windham,"163"
